,text,label
0,Cynthia scans these hard books.,1
1,Donna might hire this serious actress.,1
2,Wendy forgot those upset doctors.,1
3,Carlos hasn't fired those uncertain students.,1
4,Claire will conceal those hopeful cashiers.,1
5,Some actors buy these gray books.,1
6,Jerry appreciates this lost report.,1
7,Deanna reveals these black public parks.,1
8,Tracy has boasted about those unsure children.,1
9,This eggplant distracts this hopeful girl.,1
10,That sweater had resembled that out in the open drawing.,1
11,Nancy astounded that young pedestrian.,1
12,The documentaries can aggravate those busy actors.,1
13,Most senators aren't exiting this popular restaurant.,1
14,Wayne looked like those bad paintings.,1
15,Christina loves these popular essays.,1
16,Katherine hasn't bothered that delighted waiter.,1
17,A lot of pedestrians had complained about this unconvinced teenager.,1
18,This eggplant hasn't resembled that out in the open print.,1
19,Kathleen cleaned that yellow college campus.,1
20,Randolf had healed this young boy.,1
21,Many governments hadn't respected these excited children.,1
22,Cheryl forgot these big waitresses.,1
23,Judy wasn't embarrassing these old students.,1
24,The waitresses alarm those content dancers.,1
25,Most people leave those purple cafes.,1
26,A ladder won't annoy these popular governments.,1
27,Most adults shocks these popular drivers.,1
28,Some turtle resembled that small photograph.,1
29,A lot of sweaters resemble these yellow pictures.,1
30,Peter resembled these bad photographs.,1
31,Galileo sounds like this important essay.,1
32,Those ladies work with these lucky actors.,1
33,All women reveal that exposed painting.,1
34,Sandra had stunned that young teacher.,1
35,That plate resembles those big sketches.,1
36,Sarah has discussed that big waitress.,1
37,Heather hasn't worked with this content adult.,1
38,Becca hadn't hugged these fast actors.,1
39,Robert isn't lifting that dirty dress.,1
40,Linda runs around these exposed grocery stores.,1
41,Most teachers sound like those ill drivers.,1
42,Wendy isn't escaping from these unemployed dancers.,1
43,Homer won't watch that exposed teacher.,1
44,All drivers confuses those ill actresses.,1
45,Connie had disturbed that important legislature.,1
46,Brad won't visit these gray schools.,1
47,Joel is finding these red plates.,1
48,Winston Churchill criticized that new high school.,1
49,Sherry talked about these dirty hospitals.,1
50,Many mouths look like this small drawing.,1
51,Valerie heals those ill rabbits.,1
52,Those senators shock that bad guy.,1
53,Diana would heal this sick hamster.,1
54,Larry cures this sick driver.,1
55,This actor might like that determined pedestrian.,1
56,This student runs around these red grocery stores.,1
57,Laura had bought these small books.,1
58,Those organizations aggravate those busy teenagers.,1
59,Melinda liked these green sketches.,1
60,Most children wear those smooth shawls.,1
61,Many drivers had hidden those good scarves.,1
62,Jill finds this hidden bird.,1
63,Kathleen is cleaning these purple banks.,1
64,Some picture isn't annoying these upset waitresses.,1
65,Kendra messes up that bad movie theater.,1
66,Larry bored this bad teenager.,1
67,This waiter hasn't scanned that long book.,1
68,Amy tours those smooth college campuses.,1
69,Some movies sound like this lost doctor.,1
70,Many patients research those blue sketches.,1
71,Valerie listens to those displeased dancers.,1
72,Every lady didn't disturb those busy teenagers.,1
73,Danielle questioned this out in the open teenager.,1
74,The drivers watch these nice dancers.,1
75,Clyde did approach these hidden senators.,1
76,The movies disagree with these old children.,1
77,Every teacher buys that out in the open grocery store.,1
78,Jessica hires this nice guy.,1
79,Dana hadn't lifted this new college campus.,1
80,A lot of organizations scare these confident senators.,1
81,Lucille might take those bad dishes.,1
82,Amelia hasn't dropped by those out in the open cafes.,1
83,Meredith won't scan that bad documentary.,1
84,Katherine healed these out in the open snakes.,1
85,Ronald fires this bad customer.,1
86,Danielle wouldn't bring these long pamphlets.,1
87,Jennifer was hurting that uncertain driver.,1
88,Tiffany hasn't worked with this young teenager.,1
89,Sabrina was scanning this hard book.,1
90,Eric hired that ill student.,1
91,Liam flees from those determined actors.,1
92,Noah notices that gray restaurant.,1
93,Those children question those out in the open boys.,1
94,Most children conceal this smart dancer.,1
95,Most actresses had healed these busy children.,1
96,Gerald could examine that long essay.,1
97,Lawrence is insulting these popular documentaries.,1
98,All boys kiss these big actresses.,1
99,Many cashiers were discussing this concealed report.,1
100,Stacey cleaned this good cafe.,1
101,Guys love those small teenagers.,1
102,Some guest broke this cheap fork.,1
103,The Great Lakes might stun those troubled pedestrians.,1
104,Elaine had fled from that unlucky girl.,1
105,Dawn hadn't thought about that lucky waiter.,1
106,This wheelbarrow annoys this small library.,1
107,Michelle wasn't visiting that concealed mall.,1
108,Some book isn't astounding this messy bank.,1
109,Kristin watches those lost actors.,1
110,Dawn hates this determined patient.,1
111,These people had praised that lucky customer.,1
112,Rodney goes to this new mall.,1
113,Those boys run around those popular public parks.,1
114,Noah couldn't leave these smart actors.,1
115,Lori should conceal this yellow library.,1
116,The documentary does alarm these displeased actors.,1
117,The Clintons have exited that cheap museum.,1
118,Many doctors go to this messy museum.,1
119,The committee has taken these bad dogs.,1
120,Lawrence did watch those unconvinced doctors.,1
121,Wayne should walk through these small libraries.,1
122,A waiter hasn't boycotted this popular organization.,1
123,Most guests can insult this concealed actress.,1
124,Some women reference that popular commentary.,1
125,Carrie examines this popular play.,1
126,Laurie hadn't cleaned these bad jackets.,1
127,Margaret hasn't concealed those lost ladies.,1
128,Alan hasn't helped those delighted girls.,1
129,Vanessa hasn't discovered these brown sketches.,1
130,Liam hasn't insulted that clever student.,1
131,Some customer cleans those old couches.,1
132,Matt would discuss that green college campus.,1
133,Mitchell bikes to this big art gallery.,1
134,Marie will research that messy library.,1
135,The actors break these gray couches.,1
136,Many students describe these concealed high schools.,1
137,Every shawl has bothered that big waitress.,1
138,An adult wouldn't clean this concealed cafe.,1
139,That adult remembers those small customers.,1
140,Tara had seen these concealed libraries.,1
141,The cilantro irritates these troubled girls.,1
142,Jennifer isn't breaking those brown couches.,1
143,Some children have that out in the open print.,1
144,A lot of universities took that hidden hat.,1
145,That eggplant shocks these popular committees.,1
146,Sandra appreciated that important college campus.,1
147,All doctors love these bad plays.,1
148,Tara will bring those white art galleries.,1
149,Kayla exits those gray art galleries.,1
150,Catherine was discussing that popular public park.,1
151,Some actresses sound like these long commentaries.,1
152,Robert wasn't buying these lost hamsters.,1
153,Russell conceals this standing teenager.,1
154,Every bird had stunned that cheap library.,1
155,Carol drives to that bad hospital.,1
156,Raymond talked to that busy actor.,1
157,Gary is upsetting this important company.,1
158,A lot of movie theaters embarrass that unemployed student.,1
159,Beverly watched that busy dancer.,1
160,An actress might cure this smart lady.,1
161,Lawrence wouldn't listen to that sick guy.,1
162,Kathleen referenced these small ladies.,1
163,Erin will find those out in the open scarves.,1
164,Kristin noticed this important bird.,1
165,Jane did respect those content ladies.,1
166,Liam cured that blue cat.,1
167,Brad isn't praising that bad dancer.,1
168,A lot of girls could take these out in the open public parks.,1
169,Stacy admired these nice students.,1
170,Every story bothers that bad company.,1
