,text,label
0,Some dog stunned this committee.,1
1,Tracy passed these art galleries.,1
2,Sarah has sounded like these children.,1
3,Craig had cared for that dancer.,1
4,Most children return to those senators.,1
5,The Impressionists impress those hospitals.,1
6,Carl cures those horses.,1
7,The Borgias should pass these college campuses.,1
8,Natalie had passed those public parks.,1
9,All grocery stores didn't shock these adults.,1
10,This person bothered these libraries.,1
11,This actress isn't taking that dress.,1
12,The turtle alarmed these legislatures.,1
13,The Borgias attack those customers.,1
14,Jerry messes up these chairs.,1
15,Sally thinks about that story.,1
16,Frank doesn't upset that actress.,1
17,Amelia doesn't return to those hospitals.,1
18,Christopher hated those stories.,1
19,This mouth astounds these actresses.,1
20,Tiffany insults those movies.,1
21,That book confuses that cashier.,1
22,Sabrina doesn't tour these cafes.,1
23,An actor would drop by this bank.,1
24,Boys hadn't criticized that high school.,1
25,The Borgias discuss those cashiers.,1
26,The guy researches this brochure.,1
27,Carl references this essay.,1
28,Robert hates that dancer.,1
29,Erin fires that waiter.,1
30,Sherry was selling those hamsters.,1
31,This cilantro hurt those senators.,1
32,Some drawing won't bother that girl.,1
33,Stacey hadn't criticized these college campuses.,1
34,Russell had revealed this student.,1
35,Theresa revealed that cashier.,1
36,Caroline doesn't wear this glove.,1
37,Alan questioned this hospital.,1
38,Sheila had exited this high school.,1
39,Boys exit that hospital.,1
40,Joseph cleans this art gallery.,1
41,Ellen cleans this plate.,1
42,Some woman discusses these reports.,1
43,Most waiters describe this pedestrian.,1
44,Omar fixed those couches.,1
45,The Impressionists worked with these teenagers.,1
46,Elizabeth didn't resemble these drawings.,1
47,Alicia can flee from those waitresses.,1
48,All public parks should stun those actresses.,1
49,Jerry fires those guys.,1
50,Teresa shouldn't upset these companies.,1
51,Diana isn't stunning that student.,1
52,Many girls return to that school.,1
53,Victoria finds this book.,1
54,Lawrence was buying these schools.,1
55,This sock didn't upset that waitress.,1
56,John is questioning these students.,1
57,Patrick irritated this company.,1
58,Every pedestrian did take this library.,1
59,Dennis bothered those hospitals.,1
60,Many planes disturb that teenager.,1
61,All girls have run around this high school.,1
62,Michael hasn't scanned these plays.,1
63,Larry is taking that mall.,1
64,Kristen hadn't broken these plates.,1
65,Most guys reveal that cup.,1
66,Carlos hadn't questioned those universities.,1
67,Rose leaves these teachers.,1
68,Colleen hasn't fixed those chairs.,1
69,Martha wasn't leaving these guests.,1
70,Winston Churchill hadn't worked with that guy.,1
71,Chad concealed this waiter.,1
72,Laura exits those grocery stores.,1
73,Some actors astounded those banks.,1
74,Harvard University is irritating these dancers.,1
75,Galileo might impress this student.,1
76,The Borgias pass those museums.,1
77,Every committee talks about that story.,1
78,Those closets alarm this museum.,1
79,A drawing annoys this pedestrian.,1
80,Theresa has this jacket.,1
81,All cafes embarrassed those governments.,1
82,Denise won't hate that pedestrian.,1
83,Lissa drove to those art galleries.,1
84,Rodney approaches that driver.,1
85,Nina hurt that guy.,1
86,Beverly hasn't dropped by that cafe.,1
87,Phillip hadn't worn that coat.,1
88,Sarah couldn't examine that story.,1
89,Those actors conceal these dancers.,1
90,Laurie can break this cup.,1
91,Stephen isn't criticizing this library.,1
92,Allison doesn't watch this actor.,1
93,This waitress insulted that adult.,1
94,Liam buys this restaurant.,1
95,Tonya hasn't arrived at that hospital.,1
96,George doesn't pass this mall.,1
97,Actors conceal these coats.,1
98,Actors can break this chair.,1
99,Marla will attack these teachers.,1
100,Those schools haven't hurt this student.,1
101,Connie wasn't scanning those stories.,1
102,Carla doesn't embarrass this dancer.,1
103,These waitresses were firing that actress.,1
104,The customers flee from these dancers.,1
105,These universities boast about these reports.,1
106,Ronald did leave this guest.,1
107,The organizations help that guy.,1
108,Bethany looks like that picture.,1
109,Every bike bores this cashier.,1
110,Boxes resembled those pictures.,1
111,Many hospitals respect those actresses.,1
112,Tonya shouldn't think about these high schools.,1
113,The Borgias think about these pictures.,1
114,Gerald discovered these blouses.,1
115,Those guests fire this teacher.,1
116,Becca is hurting these customers.,1
117,Most waiters haven't hurt these cashiers.,1
118,Dawn criticized these guests.,1
119,That person wasn't stunning those adults.,1
120,Barbara isn't hugging those patients.,1
121,Some lamp hadn't confused this legislature.,1
122,Many waiters boycott this cafe.,1
123,All cashiers scan this commentary.,1
124,Some boy might cure that guy.,1
125,Rebecca is driving to that cafe.,1
126,Those teenagers reference these ladies.,1
127,Rebecca has investigated that driver.,1
128,Winston Churchill did worry that customer.,1
129,Julia isn't finding those college campuses.,1
130,Tonya reveals that patient.,1
131,Caroline bothered these senators.,1
132,The hospitals fire those children.,1
133,Many doctors tour those grocery stores.,1
134,Martin is referencing those movies.,1
135,Every waiter is leaving those doctors.,1
136,Peter can't complain about this driver.,1
137,Most carts aren't looking like these prints.,1
138,Diane isn't talking to that customer.,1
139,Every hospital won't admire these art galleries.,1
140,Alicia hasn't fled from these actresses.,1
141,Carl researches that newspaper article.,1
142,Linda is running around those malls.,1
143,Many people had healed those senators.,1
144,Most museums couldn't praise those brochures.,1
145,Every person isn't driving to that college campus.,1
146,Gina would flee from those students.,1
147,Patricia is approaching this teacher.,1
148,The waitress did drop by those schools.,1
149,Randolf hadn't talked about this library.,1
150,Lawrence is driving to that bank.,1
151,Some dancer disagrees with these newspaper articles.,1
152,Becca hurt those ladies.,1
153,Keith listens to those ladies.,1
154,Clyde was talking about those schools.,1
155,Bill wouldn't pass that movie theater.,1
156,Some driver drove to these schools.,1
157,Christine can't think about this actor.,1
158,Larry didn't lift this hat.,1
159,The Lutherans don't conceal these teenagers.,1
160,A lot of men discover these photographs.,1
161,These drivers might disagree with those dancers.,1
162,Joel approaches these actresses.,1
163,April hadn't astounded these patients.,1
164,Most schools forget this book.,1
165,Marcus had dropped by this grocery store.,1
166,Maria is cleaning that couch.,1
167,Florence scans that documentary.,1
168,Ann hadn't questioned that school.,1
169,Some ice shouldn't worry this committee.,1
170,Brian was messing up that movie theater.,1
171,Samantha loves this brochure.,1
172,Sabrina could criticize that dancer.,1
173,Most students go to this restaurant.,1
174,All cashiers distract that guy.,1
175,These children run around that high school.,1
176,Robert couldn't lift those blouses.,1
177,Most adults drop by these schools.,1
178,Most students scare those doctors.,1
179,That couch has impressed those adults.,1
180,All windows disturb that committee.,1
181,Every adult hadn't embarrassed these banks.,1
182,Some essay doesn't distract these committees.,1
183,Maria was going to those college campuses.,1
184,The committees admire those newspaper articles.,1
185,Brett is listening to that waitress.,1
186,Alice hasn't astounded that school.,1
187,Anne thought about this glass.,1
188,Every grocery store astounded this waiter.,1
189,Angela was worrying that museum.,1
190,These plays have bothered those associations.,1
191,Dennis breaks those dishes.,1
192,Cashiers are visiting those guests.,1
193,Some driver fixed this glass.,1
194,These museums remember these dancers.,1
195,Heather didn't clean this museum.,1
196,A lot of cups aren't impressing this museum.,1
197,George hadn't referenced this student.,1
198,Those stairs haven't aggravated that patient.,1
199,The Clintons walk through that art gallery.,1
200,Richard bikes to those banks.,1
201,Veronica is stunning those patients.,1
202,Andrea hates that essay.,1
203,Jason had admired these drivers.,1
204,All dancers drive to these malls.,1
205,The guys question that guest.,1
206,Richard could have these photographs.,1
207,The pedestrian broke this couch.,1
208,All committees boasted about these customers.,1
209,Scott shouldn't boast about that driver.,1
210,Derek hides those students.,1
211,These women might hug that boy.,1
212,Some cashiers are dropping by these art galleries.,1
213,Cindy appreciates those libraries.,1
214,Candice admired this jacket.,1
215,Andrea insults these boys.,1
216,Jill escapes from those teachers.,1
217,Roger could help those ladies.,1
218,Regina isn't exploring that library.,1
219,Every play alarms these ladies.,1
220,Martha should work with these guests.,1
221,All fish break that chair.,1
222,Alan hadn't dropped by this restaurant.,1
223,That child wore that shirt.,1
224,Lisa argued about those drivers.,1
225,All ladies sell this cup.,1
226,Barbara would care for these guests.,1
227,Alice boasted about that teacher.,1
228,Janice might question that student.,1
229,Thomas isn't concealing these high schools.,1
230,Many banks boast about these ladies.,1
231,A waitress has astounded those pedestrians.,1
232,These women returned to this senator.,1
233,These actors wear this hat.,1
234,The hospitals like these customers.,1
235,These boys did praise those ladies.,1
236,Lisa wasn't hugging these boys.,1
237,Brian explored this bank.,1
238,Keith doesn't discover these skirts.,1
239,Some student admires these children.,1
240,These governments discuss that waiter.,1
241,That pedestrian argued about these boys.,1
242,Harvard University can irritate this cashier.,1
243,Those women go to those grocery stores.,1
244,That actress wouldn't mess up these dishes.,1
245,The Clintons like that book.,1
246,The Borgias have thought about these dishes.,1
247,These people leave that teacher.,1
248,The guests observe this patient.,1
249,Ann researches that legislature.,1
250,Some children haven't cleaned this school.,1
251,Samuel returned to these drivers.,1
252,Edward criticized those waiters.,1
253,Gina had argued about that movie.,1
254,Alice looks like those sketches.,1
255,Elaine cleaned those glasses.,1
256,The Impressionists observe these waitresses.,1
257,Liam had disturbed this government.,1
258,Winston Churchill cures these dancers.,1
259,Guys hug that doctor.,1
260,A guest complains about those movies.,1
261,Those committees disgust those waiters.,1
262,These men reveal those pamphlets.,1
263,Some hospital couldn't look like this print.,1
264,Becca referenced those pedestrians.,1
265,Some girl hired those pedestrians.,1
266,Beverly was walking through that restaurant.,1
267,Diana had broken this dish.,1
268,Some customers were leaving that girl.,1
269,The cashiers hire that dancer.,1
270,Carl breaks those forks.,1
271,The Clintons haven't concealed these waitresses.,1
272,The museums have that cafe.,1
273,The customers alarm that cashier.,1
274,Edward does drive to these grocery stores.,1
275,The actresses worries those children.,1
276,All women hadn't lifted those eyes.,1
277,Those waitresses exit these malls.,1
278,Every teenager is messing up this dish.,1
279,Some window has hurt these customers.,1
280,Amelia researches these schools.,1
281,Guy had messed up these cafes.,1
282,The boys weren't messing up these glasses.,1
283,The doctors know these guys.,1
284,Margaret left those waiters.,1
285,Many guys clean these couches.,1
286,Leslie was cleaning these movie theaters.,1
287,The Impressionists exit these schools.,1
288,Robert discovers those shirts.,1
289,Vincent hides this guest.,1
290,Benjamin isn't breaking that cup.,1
291,The Lutherans go to this restaurant.,1
292,Caroline referenced those dancers.,1
293,These guests haven't hated those senators.,1
294,Brad flees from that cashier.,1
295,Vincent won't conceal this essay.,1
296,Cindy describes these restaurants.,1
297,A person hadn't boasted about those waiters.,1
298,Janet cleaned that public park.,1
299,Amy fled from those art galleries.,1
300,Homer hasn't praised these children.,1
301,These trucks distract this pedestrian.,1
302,Kirsten should impress those actresses.,1
303,That driver respected those waitresses.,1
304,Drivers dislike that cafe.,1
305,Those stairs astound this guest.,1
306,Diane won't wear this dress.,1
307,These sketches look like that waiter.,1
308,All ladies investigate these dancers.,1
309,Linda had broken that fork.,1
310,Scott was noticing that lady.,1
311,Alan has helped these actors.,1
312,That car upsets that school.,1
313,Elizabeth is exploring that college campus.,1
314,Lucille was noticing those cashiers.,1
315,Kristin wasn't approaching these customers.,1
316,A waitress might reveal this report.,1
317,Noah had upset that pedestrian.,1
318,Sharon hasn't observed these drivers.,1
319,All waitresses examine this brochure.,1
320,Christina had skated around these museums.,1
321,Children investigate those universities.,1
322,A lot of people reveal these chairs.,1
323,Jason drops by this high school.,1
324,Many doctors arrive at those art galleries.,1
325,Nina won't mess up these banks.,1
326,The Lutherans tour this museum.,1
327,David investigated these guys.,1
328,Some girls notice this shirt.,1
329,All glasses alarm that customer.,1
330,Linda praises those patients.,1
331,Some plays irritate those drivers.,1
332,Laurie revealed this grocery store.,1
333,Heather attacks that teenager.,1
334,Brad is lifting that shawl.,1
335,Some museum discusses this cafe.,1
336,Jacqueline visited these college campuses.,1
337,Guests should see that girl.,1
338,All teenagers had disagreed with those pedestrians.,1
339,The newspaper article disagreed with those stories.,1
340,Mark might examine this play.,1
341,These pedestrians hug this dancer.,1
342,Julie wouldn't find these grocery stores.,1
343,Kirsten sounded like those guys.,1
344,Lissa approaches these actors.,1
345,The Clintons hate those newspaper articles.,1
346,Some eggplants aren't upsetting those actors.,1
347,The slopes distract those guys.,1
348,An adult would hate that customer.,1
349,Rachelle might go to this museum.,1
350,Susan breaks those cups.,1
351,Lisa did resemble those paintings.,1
352,Martin was describing that restaurant.,1
353,Joseph might notice those shirts.,1
354,The actress heals that adult.,1
355,This guy had described those movies.,1
356,Christine boasts about these movies.,1
357,Roger disliked these movies.,1
358,Tammy wasn't breaking this plate.,1
359,Some teenagers haven't referenced those boys.,1
360,The women liked these cats.,1
361,A library isn't admiring these libraries.,1
362,Most dancers hadn't worried this committee.,1
363,Stacey hasn't escaped from these teachers.,1
364,Kimberley exits this hospital.,1
365,Sharon disagrees with that waiter.,1
366,Some driver found those books.,1
367,The Borgias hug that teenager.,1
368,The Borgias heal these guests.,1
369,Sheila hasn't arrived at those restaurants.,1
370,Martin could explore these cafes.,1
371,Some actor would sound like those banks.,1
372,Martin sees these children.,1
373,Heidi discovered that museum.,1
374,Tina brought that school.,1
375,That box might look like that picture.,1
376,Every unicycle is impressing that teacher.,1
377,Irene observed this dancer.,1
378,Elaine conceals that girl.,1
379,This association will disgust this student.,1
380,Becca exits this grocery store.,1
381,Sonia appreciated that story.,1
382,Curtis can't discover this company.,1
383,Michelle wouldn't care for those guests.,1
384,Douglas hasn't questioned these customers.,1
385,Gregory approaches those waitresses.,1
386,Some patients approach that dancer.,1
387,The Borgias admire this art gallery.,1
388,Most hospitals hire these waitresses.,1
389,Douglas is passing these hospitals.,1
390,Frank is boasting about those adults.,1
391,Lawrence had questioned those waiters.,1
392,Kayla is astounding these governments.,1
393,These skirts can bore that dancer.,1
394,Vanessa boasts about that guest.,1
395,Some cashier would buy this blouse.,1
396,Many rivers had disturbed that teacher.,1
397,The Borgias flee from these waiters.,1
398,Walter is firing those senators.,1
399,Beth had distracted this school.,1
400,This snake wasn't breaking this dish.,1
401,All spotlights irritate this patient.,1
402,This bird hadn't irritated those doctors.,1
403,Robert hasn't scanned this newspaper article.,1
404,Stephanie scanned that brochure.,1
405,Meredith hasn't cured these customers.,1
406,Jesus concealed these books.,1
407,Naomi doesn't break that fork.,1
408,Irene has helped that patient.,1
409,Dana isn't leaving these patients.,1
410,Guests referenced those newspaper articles.,1
411,Alice was kissing those customers.,1
412,All banks insulted those teenagers.,1
413,Many teachers wear that shirt.,1
414,Vincent was skated around this restaurant.,1
415,Those actors annoyed these schools.,1
416,Every driver wasn't describing this student.,1
417,Most ladies hide that painting.,1
418,Most cashiers break this chair.,1
419,Most bicycles don't embarrass those libraries.,1
420,These restaurants impress these organizations.,1
421,The pasta disgusted these ladies.,1
422,Alan hadn't confused these libraries.,1
423,Guy helps that teacher.,1
424,Peter is alarming those senators.,1
425,Most icicles disgust these committees.,1
426,Some people like that restaurant.,1
427,Monet wouldn't observe that waiter.,1
428,Susan has praised this customer.,1
429,Andrew questions those associations.,1
430,A lot of high schools confuse these teachers.,1
431,Samantha insulted those banks.,1
432,Beverly doesn't scare those ladies.,1
433,Heather fired those girls.,1
434,Stephanie describes that newspaper article.,1
435,Teresa lifted this shawl.,1
436,Marie noticed this association.,1
437,Liam praises that waiter.,1
438,Valerie will reference that book.,1
439,Those cashiers haven't bothered this museum.,1
440,Most women weren't noticing these customers.,1
441,Travis conceals those customers.,1
442,Teresa was investigating those actors.,1
443,Gregory has hated those essays.,1
444,Barbara messes up that school.,1
445,Alice loves these ladies.,1
446,Eva has cleaned this couch.,1
447,Alan cares for these teachers.,1
448,The guy wasn't passing this grocery store.,1
449,The Lutherans hadn't left these libraries.,1
450,Mary couldn't respect this public park.,1
451,A lot of sketches weren't looking like this shirt.,1
452,These stories sound like this guest.,1
453,Denise runs around this mall.,1
454,The patients talk to those adults.,1
455,Melissa can exit these grocery stores.,1
456,Danielle leaves these grocery stores.,1
457,Holly sounds like this actor.,1
458,Rebecca hasn't hired these boys.,1
459,Carl broke that glass.,1
460,Holly wasn't boasting about that waiter.,1
461,Nicole returned to this senator.,1
462,Tracy researches that photograph.,1
463,A pedestrian is embarrassing those drivers.,1
464,The Clintons pass this art gallery.,1
465,Wendy isn't listening to that lady.,1
466,Theresa couldn't skate around those hospitals.,1
467,The girls haven't thought about this cup.,1
468,Janice fixes those cups.,1
469,Most drivers care for those boys.,1
470,Jesus isn't helping that actress.,1
471,Most waiters boast about those waiters.,1
472,The Borgias talk about these movie theaters.,1
473,All drivers reveal those drivers.,1
474,The dogs annoyed that doctor.,1
475,Ellen escaped from these art galleries.,1
476,Keith is discussing those waitresses.,1
477,The bird had found that dish.,1
478,Edward observed that dancer.,1
479,Most boys return to that actress.,1
480,Becca helped this waiter.,1
481,Thomas saw this fork.,1
482,Charles attacked these drivers.,1
483,Leslie would upset that bank.,1
484,Most pictures distract this actor.,1
485,Lucille found this report.,1
486,Travis is concealing that teacher.,1
487,Tonya messes up these forks.,1
488,Leslie skated around this art gallery.,1
489,Most drivers find those eyes.,1
490,Denise is describing these students.,1
491,Laurie isn't talking to those adults.,1
492,Charles remembered that waitress.,1
493,Kimberley brought those sweaters.,1
494,Many committees weren't shocking that teenager.,1
495,Nina looked like this print.,1
496,Sherry is lifting these public parks.,1
497,Natalie helps this actor.,1
498,A student exits those libraries.,1
499,Cynthia passed these libraries.,1
500,Samuel would conceal those chairs.,1
501,Michelle finds this cat.,1
502,Dana discovers those cashiers.,1
503,Naomi was cleaning these cups.,1
504,A lot of libraries haven't loved that driver.,1
505,Tanya didn't distract that student.,1
506,Most dogs resemble that picture.,1
507,Every mountain had disgusted those senators.,1
508,Beverly bothered that museum.,1
509,Wayne should return to those malls.,1
510,William is leaving that library.,1
511,That lady won't stun these cashiers.,1
512,Tammy toured that library.,1
513,This actress listened to these guests.,1
514,All mushrooms disgust those adults.,1
515,Pamela wasn't boycotting this legislature.,1
516,A lot of ladies know that driver.,1
517,Natalie escaped from that waiter.,1
518,These drivers skate around these malls.,1
519,Diana praised those guys.,1
520,That pepper had alarmed this adult.,1
521,Derek might run around those grocery stores.,1
522,Photographs worried this waiter.,1
523,Sally walked through that public park.,1
524,The Borgias loved that lady.,1
525,Sonia cures that guy.,1
526,Dennis didn't care for those adults.,1
527,Some girls find that pedestrian.,1
528,Some cucumber disturbed those banks.,1
529,Daniel insults this teacher.,1
530,Wendy had toured these high schools.,1
531,This person doesn't bring those cups.,1
532,Guy hasn't toured this bank.,1
533,Claire exited these public parks.,1
534,Debra has referenced that pedestrian.,1
535,Some patients heal those actresses.,1
536,Laurie healed this cat.,1
537,The Borgias messed up that public park.,1
538,Janice hasn't cared for those children.,1
539,Doctors observe these waiters.,1
540,Ronald thinks about those brochures.,1
541,Dennis hadn't messed up those cars.,1
542,Every sock is boring those actresses.,1
543,A lot of actors praise that story.,1
544,Lucille leaves that library.,1
545,Some lamp resembled those pictures.,1
546,Some museums are alarming these organizations.,1
547,Some muffin astounds these waiters.,1
548,This dress shocked these legislatures.,1
549,Benjamin would disgust those governments.,1
550,Roger disagrees with this teacher.,1
551,This nose bored these teenagers.,1
552,Rhonda was stunning this adult.,1
553,Students leave that restaurant.,1
