,text,label
0,Laurie hasn't lifted those cacti.,1
1,Adam hadn't discussed these analyses.,1
2,Some customers know these men.,1
3,Phillip was lifting this mouse.,1
4,The driver reveals these mice.,1
5,Anna will buy that louse.,1
6,Rhonda had insulted these men.,1
7,All plays shock this alumnus.,1
8,Grace noticed that axis.,1
9,Patricia cleans these teeth.,1
10,Alan examined those analyses.,1
11,Travis fired these children.,1
12,The picture can't look like these nuclei.,1
13,The waitresses haven't cleaned this thesis.,1
14,Pamela might boast about those bases.,1
15,Tammy was observing that man.,1
16,Paul wasn't insulting this analysis.,1
17,Russell hadn't appreciated that synthesis.,1
18,These waiters are appreciating that thesis.,1
19,The women didn't boast about this phenomenon.,1
20,Raymond concealed those nuclei.,1
21,Sara has insulted these analyses.,1
22,Every guest cares for those men.,1
23,Heidi can research this ellipsis.,1
24,Paula won't buy these theses.,1
25,Sheila wasn't bringing that fungus.,1
26,Diane talked about this man.,1
27,Linda discussed this oasis.,1
28,Richard healed that goose.,1
29,Patients think about these cacti.,1
30,The cashier isn't lifting these mice.,1
31,Irene had discovered that crisis.,1
32,Andrea hasn't talked about that synopsis.,1
33,Joel wasn't discovering that thesis.,1
34,Chad hasn't praised these theses.,1
35,Keith isn't discovering this hypothesis.,1
36,Those people argue about that ellipsis.,1
37,Those adults hadn't cleaned this mouse.,1
38,Donald will buy these teeth.,1
39,Paintings look like this ox.,1
40,Victoria has appreciated these media.,1
41,These pedestrians escape from these men.,1
42,Girls couldn't boast about those syntheses.,1
43,Dana can argue about this basis.,1
44,Brad questions that child.,1
45,Sonia was thinking about this hypothesis.,1
46,Most customers reveal that woman.,1
47,Some boys discover that ox.,1
48,Randolf loved that synopsis.,1
49,Leslie was finding these stimuli.,1
50,The Borgias reveal those men.,1
51,All pedestrians criticize that thesis.,1
52,Drivers haven't hidden this louse.,1
53,Every adult notices these oxen.,1
54,Those teenagers astounded these men.,1
55,Every cashier complains about that child.,1
56,Every waiter thinks about those media.,1
57,Rebecca was concealing those analyses.,1
58,Guys haven't discovered that woman.,1
59,A girl will argue about this child.,1
60,Alan has complained about those crises.,1
61,Rose isn't selling that axis.,1
62,Dan discovers these hypotheses.,1
63,Connie can't notice these theses.,1
64,These documentaries had disagreed with these analyses.,1
65,Deanna breaks those feet.,1
66,Linda hadn't admired those octopi.,1
67,Some universities listen to those alumni.,1
68,Grace had bought those nuclei.,1
69,These ladies dislike this thesis.,1
70,Julie noticed that goose.,1
71,Bill couldn't flee from this alumnus.,1
72,Meredith would clean those mice.,1
73,Dana wasn't thinking about those crises.,1
74,Guy wouldn't argue about that hypothesis.,1
75,Grace won't insult that thesis.,1
76,Sheila is buying those teeth.,1
77,Most pedestrians conceal this thesis.,1
78,Many mouths distract these people.,1
79,Stacy disturbs this man.,1
80,Jessica likes that woman.,1
81,Emily concealed these octopi.,1
82,Brenda won't buy those lice.,1
83,Rose is describing those people.,1
84,Phillip hadn't concealed that woman.,1
85,This lady referenced those synopses.,1
86,The senators notice this octopus.,1
87,Pamela wasn't revealing those nuclei.,1
88,Kristin thought about that paralysis.,1
89,Danielle discovers that synopsis.,1
90,Noah wasn't annoying that child.,1
91,Andrea does notice those octopi.,1
92,Deborah will hate these men.,1
93,Erin visited these alumni.,1
94,Some students hadn't taken those teeth.,1
95,Pamela discusses these women.,1
96,Melissa was researching those bases.,1
