,text,label
0,Some waiters broke this lost foot.,1
1,The company talks about those big women.,1
2,This blouse astounds this lost woman.,1
3,David wasn't kissing these standing children.,1
4,This person shouldn't criticize this upset child.,1
5,These tomatoes astound that concealed person.,1
6,Sally hasn't cleaned these white oxen.,1
7,These doors would astound those happy children.,1
8,Katherine is biking to these red oases.,1
9,Katherine hadn't praised this lost man.,1
10,The driver sees that unlucky person.,1
11,Edward hadn't described this nice woman.,1
12,Heidi returns to that big woman.,1
13,Sara listened to that unconvinced person.,1
14,Samuel had listened to these concealed people.,1
15,Richard flees from those unconvinced men.,1
16,Monica is cleaning that hidden axis.,1
17,Veronica does break those hard teeth.,1
18,Rachel drove to those blue oases.,1
19,These cashiers do break this whole tooth.,1
20,Rose dislikes this bad synopsis.,1
21,Becky had fixed this hard foot.,1
22,Gerald questioned those unconvinced men.,1
23,Stacy doesn't impress this determined person.,1
24,Nina won't run around this smooth oasis.,1
25,That committee works with those out in the open women.,1
26,Most teenagers had complained about these scared men.,1
27,Bill cures those unsure alumni.,1
28,Derek walked through this smooth oasis.,1
29,Some waiters work with this hidden person.,1
30,Dennis hasn't healed these unconvinced women.,1
31,Kathleen has this exposed thesis.,1
32,Sheila loved those determined people.,1
33,Guy has toured this green oasis.,1
34,Some senators go to that purple oasis.,1
35,Anna should scan that bad analysis.,1
36,Most waitresses notice that red stimulus.,1
37,Diana cured those standing alumni.,1
38,Ronald discussed that nice man.,1
39,Tonya won't buy that brown oasis.,1
40,Marie argued about that good synopsis.,1
41,Bradley wasn't skated around that out in the open oasis.,1
42,Jacqueline wasn't finding that hidden man.,1
43,Most commentaries hadn't impressed those clever men.,1
44,Bruce has worked with this lost child.,1
45,Karla exits these orange oases.,1
46,Joseph doesn't sound like these hard theses.,1
47,Martha had talked to that out in the open person.,1
48,The vase impresses that excited woman.,1
49,Kevin cleans this purple foot.,1
50,Sheila could observe this big woman.,1
51,Lisa hugs that young man.,1
52,This waitress explores these black oases.,1
53,Janet boasts about that fast person.,1
54,Scott won't confuse these big people.,1
55,The movie theater was impressing that sick woman.,1
56,Every carriage hadn't annoyed this sick alumnus.,1
57,Ronald hadn't discussed those scared people.,1
58,This hair upsets this determined alumnus.,1
59,Some men have lifted those exposed lice.,1
60,Matt was criticizing that smart man.,1
61,Karen didn't buy this blue nucleus.,1
62,Deanna might dislike this good analysis.,1
63,Helen approached this busy woman.,1
64,Florence wasn't approaching this unconvinced woman.,1
65,Rachelle can't appreciate those good synopses.,1
66,Jennifer hadn't thought about these out in the open octopi.,1
67,Larry described these delighted children.,1
68,Many ladies arrive at that black oasis.,1
69,Sally admires those fast women.,1
70,Leslie wouldn't investigate that sick woman.,1
71,All essays did hurt that exposed person.,1
72,Guy wouldn't sell that hard oasis.,1
73,Some woman hated that clever man.,1
74,Amelia walks through this red oasis.,1
75,Susan did clean these yellow stimuli.,1
76,Kristen observed that hopeful woman.,1
77,Claire was messing up this small foot.,1
78,Some waiter hires that unemployed child.,1
79,Diana isn't running around that orange oasis.,1
80,This closet hasn't scared that lucky child.,1
81,That doctor had hugged that confident woman.,1
82,The waitresses research those red theses.,1
83,Many bananas confuse these displeased women.,1
84,Committees loved this red thesis.,1
85,Deborah observes that lost alumnus.,1
86,Marla could break those whole feet.,1
87,Regina alarmed these standing alumni.,1
88,Kristen cures this scared child.,1
89,All screens astound these unlucky people.,1
90,Curtis knew these confident men.,1
91,Some lakes confused this unlucky woman.,1
92,Most men lift these blue fungi.,1
93,Kendra kissed those happy alumni.,1
94,Most cakes did distract this unsure child.,1
95,Katherine runs around that hard oasis.,1
96,The Impressionists pass those black oases.,1
97,Andrea hadn't insulted this good woman.,1
98,Beth will like these happy men.,1
99,Clyde broke that new foot.,1
100,Bradley was watching these unsure men.,1
101,The Clintons watch this confident man.,1
102,Debra had explored those gray oases.,1
103,Homer was driving to this smooth oasis.,1
104,Some girl left that sick woman.,1
105,Those cafes confuse this old man.,1
106,Vanessa wasn't driving to that green oasis.,1
107,Nicole has referenced these long analyses.,1
108,Irene doesn't bore those hopeful women.,1
109,Colleen didn't scare this old woman.,1
110,Most sketches have looked like this green louse.,1
111,Sonia can't hug those hopeful children.,1
112,Helen had shocked these hopeful children.,1
113,Ronald messes up that exposed tooth.,1
114,Sally wasn't questioning that lost woman.,1
115,Jeffrey reveals these hard oases.,1
116,A book distracted these employed men.,1
117,Theodore couldn't praise those good synopses.,1
118,Teresa hasn't praised that concealed man.,1
119,Marie cares for that nice child.,1
120,Colleen left that popular man.,1
121,Julie isn't breaking those broken feet.,1
122,These students walk through those new oases.,1
123,That chicken would disgust this delighted child.,1
124,Stacy flees from those nice children.,1
125,Dan respected that purple oasis.,1
126,Patricia isn't disturbing these excited men.,1
127,Carmen watched those big women.,1
128,All waiters return to that orange oasis.,1
129,This organization was disgusting those important people.,1
130,Tina might research that bad synopsis.,1
131,Carol does heal that lost octopus.,1
132,Bethany discusses that nice child.,1
133,Nancy hasn't known this smart child.,1
134,Many women approach this unsure child.,1
135,Christopher leaves these concealed children.,1
136,Jerry isn't cleaning those hard teeth.,1
137,Gloves should stun those unemployed men.,1
138,The teenager disagrees with these long synopses.,1
139,Roger praised this determined child.,1
140,Some senators have those blue axes.,1
141,Alexander hadn't escaped from this serious woman.,1
142,Many teenagers respect this sick man.,1
143,The casserole shocks those standing alumni.,1
144,Tamara boycotted that orange oasis.,1
145,This man cared for those lucky children.,1
146,Some lady wasn't impressing those smart men.,1
147,Tracy examines that good analysis.,1
148,These malls don't confuse those young alumni.,1
149,Tanya had bored this nice alumnus.,1
150,Irene doesn't hire this unconvinced woman.,1
151,Sandra approaches these ill men.,1
152,Marla has praised those content men.,1
153,Scarves had stunned that busy woman.,1
154,Most turtles annoy that unemployed woman.,1
155,Michelle wasn't attacking that scared child.,1
156,Heidi tours those red oases.,1
157,Sarah should love that brown thesis.,1
158,The Borgias have loved these bad synopses.,1
159,Bill was insulting that nice woman.,1
160,Most women think about that black ox.,1
161,Connie criticizes that hidden woman.,1
162,Claire hasn't driven to those out in the open oases.,1
163,Emily thought about that upset woman.,1
164,Carrie has bothered this unsure person.,1
165,Tina didn't aggravate this happy woman.,1
166,All doctors care for those clever men.,1
167,David thinks about those white octopi.,1
168,All college campuses were shocking this ill man.,1
169,Sandra wouldn't approach these uncertain women.,1
170,The ladies couldn't cure those standing women.,1
171,Carmen is finding this white oasis.,1
172,Those trucks were hurting this small man.,1
173,Caroline was observing that standing man.,1
174,Jesus isn't revealing these delighted people.,1
175,A lot of men go to these gray oases.,1
176,That sock hurts these sick men.,1
177,Elaine concealed these young people.,1
178,Some cars aren't astounding these popular men.,1
